frame,can_iface,motor_id,position_rad,elapsed_ms,speed_rad_s,accel_rad_s2
0,can2,3,0.000000,0,0.900,6.000
0,can2,4,0.000000,0,0.900,6.000
0,can2,5,0.000000,0,0.900,6.000
0,can2,6,0.000000,0,0.900,6.000
0,can3,13,0.000000,0,0.900,6.000
0,can3,14,0.000000,0,0.900,6.000
0,can3,15,0.000000,0,0.900,6.000
0,can3,16,0.000000,0,0.900,6.000
1,can2,3,-0.000042,20,0.936,4.080
1,can2,4,0.000002,20,0.936,4.080
1,can2,5,-0.001149,20,0.936,4.080
1,can2,6,-0.000024,20,0.936,4.080
1,can3,13,0.000046,20,0.936,4.080
1,can3,14,0.000004,20,0.936,4.080
1,can3,15,0.000001,20,0.936,4.080
1,can3,16,0.000027,20,0.936,4.080
2,can2,3,-0.000084,40,0.979,3.336
2,can2,4,0.000004,40,0.979,3.336
2,can2,5,-0.002299,40,0.979,3.336
2,can2,6,-0.000049,40,0.979,3.336
2,can3,13,0.000093,40,0.979,3.336
2,can3,14,0.000007,40,0.979,3.336
2,can3,15,0.000003,40,0.979,3.336
2,can3,16,0.000055,40,0.979,3.336
3,can2,3,-0.000126,60,1.031,3.223
3,can2,4,0.000006,60,1.031,3.223
3,can2,5,-0.003448,60,1.031,3.223
3,can2,6,-0.000073,60,1.031,3.223
3,can3,13,0.000139,60,1.031,3.223
3,can3,14,0.000011,60,1.031,3.223
3,can3,15,0.000004,60,1.031,3.223
3,can3,16,0.000082,60,1.031,3.223
4,can2,3,-0.000168,80,1.093,3.478
4,can2,4,0.000008,80,1.093,3.478
4,can2,5,-0.004597,80,1.093,3.478
4,can2,6,-0.000098,80,1.093,3.478
4,can3,13,0.000185,80,1.093,3.478
4,can3,14,0.000015,80,1.093,3.478
4,can3,15,0.000005,80,1.093,3.478
4,can3,16,0.000109,80,1.093,3.478
5,can2,3,-0.000209,100,1.168,3.978
5,can2,4,0.000010,100,1.168,3.978
5,can2,5,-0.005747,100,1.168,3.978
5,can2,6,-0.000122,100,1.168,3.978
5,can3,13,0.000231,100,1.168,3.978
5,can3,14,0.000018,100,1.168,3.978
5,can3,15,0.000007,100,1.168,3.978
5,can3,16,0.000136,100,1.168,3.978
6,can2,3,-0.000251,120,1.257,4.677
6,can2,4,0.000012,120,1.257,4.677
6,can2,5,-0.006896,120,1.257,4.677
6,can2,6,-0.000146,120,1.257,4.677
6,can3,13,0.000278,120,1.257,4.677
6,can3,14,0.000022,120,1.257,4.677
6,can3,15,0.000008,120,1.257,4.677
6,can3,16,0.000164,120,1.257,4.677
7,can2,3,-0.000293,140,1.365,5.338
7,can2,4,0.000014,140,1.365,5.338
7,can2,5,-0.008046,140,1.365,5.338
7,can2,6,-0.000171,140,1.365,5.338
7,can3,13,0.000324,140,1.365,5.338
7,can3,14,0.000026,140,1.365,5.338
7,can3,15,0.000010,140,1.365,5.338
7,can3,16,0.000191,140,1.365,5.338
8,can2,3,-0.000335,160,1.494,5.669
8,can2,4,0.000016,160,1.494,5.669
8,can2,5,-0.009195,160,1.494,5.669
8,can2,6,-0.000195,160,1.494,5.669
8,can3,13,0.000370,160,1.494,5.669
8,can3,14,0.000029,160,1.494,5.669
8,can3,15,0.000011,160,1.494,5.669
8,can3,16,0.000218,160,1.494,5.669
9,can2,3,-0.000377,180,1.600,5.835
9,can2,4,0.000018,180,1.600,5.835
9,can2,5,-0.010344,180,1.600,5.835
9,can2,6,-0.000219,180,1.600,5.835
9,can3,13,0.000417,180,1.600,5.835
9,can3,14,0.000033,180,1.600,5.835
9,can3,15,0.000012,180,1.600,5.835
9,can3,16,0.000246,180,1.600,5.835
10,can2,3,-0.000419,200,1.600,3.167
10,can2,4,0.000020,200,1.600,3.167
10,can2,5,-0.011494,200,1.600,3.167
10,can2,6,-0.000244,200,1.600,3.167
10,can3,13,0.000463,200,1.600,3.167
10,can3,14,0.000037,200,1.600,3.167
10,can3,15,0.000014,200,1.600,3.167
10,can3,16,0.000273,200,1.600,3.167
11,can2,3,-0.000461,220,1.600,1.834
11,can2,4,0.000023,220,1.600,1.834
11,can2,5,-0.012643,220,1.600,1.834
11,can2,6,-0.000268,220,1.600,1.834
11,can3,13,0.000509,220,1.600,1.834
11,can3,14,0.000040,220,1.600,1.834
11,can3,15,0.000015,220,1.600,1.834
11,can3,16,0.000300,220,1.600,1.834
12,can2,3,-0.000503,240,1.600,1.167
12,can2,4,0.000025,240,1.600,1.167
12,can2,5,-0.013792,240,1.600,1.167
12,can2,6,-0.000293,240,1.600,1.167
12,can3,13,0.000556,240,1.600,1.167
12,can3,14,0.000044,240,1.600,1.167
12,can3,15,0.000016,240,1.600,1.167
12,can3,16,0.000327,240,1.600,1.167
13,can2,3,-0.000545,260,1.600,0.833
13,can2,4,0.000027,260,1.600,0.833
13,can2,5,-0.014942,260,1.600,0.833
13,can2,6,-0.000317,260,1.600,0.833
13,can3,13,0.000602,260,1.600,0.833
13,can3,14,0.000048,260,1.600,0.833
13,can3,15,0.000018,260,1.600,0.833
13,can3,16,0.000355,260,1.600,0.833
14,can2,3,-0.000586,280,1.600,0.667
14,can2,4,0.000029,280,1.600,0.667
14,can2,5,-0.016091,280,1.600,0.667
14,can2,6,-0.000341,280,1.600,0.667
14,can3,13,0.000648,280,1.600,0.667
14,can3,14,0.000051,280,1.600,0.667
14,can3,15,0.000019,280,1.600,0.667
14,can3,16,0.000382,280,1.600,0.667
15,can2,3,-0.000628,300,1.600,0.583
15,can2,4,0.000031,300,1.600,0.583
15,can2,5,-0.017241,300,1.600,0.583
15,can2,6,-0.000366,300,1.600,0.583
15,can3,13,0.000694,300,1.600,0.583
15,can3,14,0.000055,300,1.600,0.583
15,can3,15,0.000021,300,1.600,0.583
15,can3,16,0.000409,300,1.600,0.583
16,can2,3,-0.000670,320,1.600,0.542
16,can2,4,0.000033,320,1.600,0.542
16,can2,5,-0.018390,320,1.600,0.542
16,can2,6,-0.000390,320,1.600,0.542
16,can3,13,0.000741,320,1.600,0.542
16,can3,14,0.000059,320,1.600,0.542
16,can3,15,0.000022,320,1.600,0.542
16,can3,16,0.000437,320,1.600,0.542
17,can2,3,-0.000712,340,1.600,0.521
17,can2,4,0.000035,340,1.600,0.521
17,can2,5,-0.019539,340,1.600,0.521
17,can2,6,-0.000414,340,1.600,0.521
17,can3,13,0.000787,340,1.600,0.521
17,can3,14,0.000062,340,1.600,0.521
17,can3,15,0.000023,340,1.600,0.521
17,can3,16,0.000464,340,1.600,0.521
18,can2,3,-0.000754,360,1.600,0.510
18,can2,4,0.000037,360,1.600,0.510
18,can2,5,-0.020689,360,1.600,0.510
18,can2,6,-0.000439,360,1.600,0.510
18,can3,13,0.000833,360,1.600,0.510
18,can3,14,0.000066,360,1.600,0.510
18,can3,15,0.000025,360,1.600,0.510
18,can3,16,0.000491,360,1.600,0.510
19,can2,3,-0.000796,380,1.600,0.505
19,can2,4,0.000039,380,1.600,0.505
19,can2,5,-0.021838,380,1.600,0.505
19,can2,6,-0.000463,380,1.600,0.505
19,can3,13,0.000880,380,1.600,0.505
19,can3,14,0.000070,380,1.600,0.505
19,can3,15,0.000026,380,1.600,0.505
19,can3,16,0.000518,380,1.600,0.505
20,can2,3,-0.000838,400,1.600,0.503
20,can2,4,0.000041,400,1.600,0.503
20,can2,5,-0.022987,400,1.600,0.503
20,can2,6,-0.000488,400,1.600,0.503
20,can3,13,0.000926,400,1.600,0.503
20,can3,14,0.000073,400,1.600,0.503
20,can3,15,0.000027,400,1.600,0.503
20,can3,16,0.000546,400,1.600,0.503
21,can2,3,-0.000880,420,1.600,0.501
21,can2,4,0.000043,420,1.600,0.501
21,can2,5,-0.024137,420,1.600,0.501
21,can2,6,-0.000512,420,1.600,0.501
21,can3,13,0.000972,420,1.600,0.501
21,can3,14,0.000077,420,1.600,0.501
