frame,can_iface,motor_id,position_rad,elapsed_ms,speed_rad_s,accel_rad_s2
0,can2,3,0.000000,0,0.900,6.000
0,can2,4,0.000000,0,0.900,6.000
0,can2,5,0.000000,0,0.900,6.000
0,can2,6,0.000000,0,0.900,6.000
0,can3,13,0.000000,0,0.900,6.000
0,can3,14,0.000000,0,0.900,6.000
0,can3,15,0.000000,0,0.900,6.000
0,can3,16,0.000000,0,0.900,6.000
1,can2,3,0.000000,20,0.936,4.080
1,can2,4,0.000000,20,0.936,4.080
1,can2,5,0.000000,20,0.936,4.080
1,can2,6,0.000000,20,0.936,4.080
1,can3,13,0.001704,20,0.936,4.080
1,can3,14,-0.002431,20,0.936,4.080
1,can3,15,0.006162,20,0.936,4.080
1,can3,16,0.003872,20,0.936,4.080
2,can2,3,0.000000,40,0.979,3.336
2,can2,4,0.000000,40,0.979,3.336
2,can2,5,0.000000,40,0.979,3.336
2,can2,6,0.000000,40,0.979,3.336
2,can3,13,0.003408,40,0.979,3.336
2,can3,14,-0.004861,40,0.979,3.336
2,can3,15,0.012323,40,0.979,3.336
2,can3,16,0.007744,40,0.979,3.336
3,can2,3,0.000000,60,1.031,3.223
3,can2,4,0.000000,60,1.031,3.223
3,can2,5,0.000000,60,1.031,3.223
3,can2,6,0.000000,60,1.031,3.223
3,can3,13,0.005112,60,1.031,3.223
3,can3,14,-0.007292,60,1.031,3.223
3,can3,15,0.018485,60,1.031,3.223
3,can3,16,0.011616,60,1.031,3.223
4,can2,3,0.000000,80,1.093,3.478
4,can2,4,0.000000,80,1.093,3.478
4,can2,5,0.000000,80,1.093,3.478
4,can2,6,0.000000,80,1.093,3.478
4,can3,13,0.006816,80,1.093,3.478
4,can3,14,-0.009722,80,1.093,3.478
4,can3,15,0.024646,80,1.093,3.478
4,can3,16,0.015488,80,1.093,3.478
5,can2,3,0.000000,100,1.168,3.978
5,can2,4,0.000000,100,1.168,3.978
5,can2,5,0.000000,100,1.168,3.978
5,can2,6,0.000000,100,1.168,3.978
5,can3,13,0.008520,100,1.168,3.978
5,can3,14,-0.012153,100,1.168,3.978
5,can3,15,0.030808,100,1.168,3.978
5,can3,16,0.019360,100,1.168,3.978
6,can2,3,0.000000,120,1.257,4.677
6,can2,4,0.000000,120,1.257,4.677
6,can2,5,0.000000,120,1.257,4.677
6,can2,6,0.000000,120,1.257,4.677
6,can3,13,0.010224,120,1.257,4.677
6,can3,14,-0.014583,120,1.257,4.677
6,can3,15,0.036969,120,1.257,4.677
6,can3,16,0.023232,120,1.257,4.677
7,can2,3,0.000000,140,1.365,5.338
7,can2,4,0.000000,140,1.365,5.338
7,can2,5,0.000000,140,1.365,5.338
7,can2,6,0.000000,140,1.365,5.338
7,can3,13,0.011928,140,1.365,5.338
7,can3,14,-0.017014,140,1.365,5.338
7,can3,15,0.043131,140,1.365,5.338
7,can3,16,0.027104,140,1.365,5.338
8,can2,3,0.000000,160,1.494,5.669
8,can2,4,0.000000,160,1.494,5.669
8,can2,5,0.000000,160,1.494,5.669
8,can2,6,0.000000,160,1.494,5.669
8,can3,13,0.013631,160,1.494,5.669
8,can3,14,-0.019444,160,1.494,5.669
8,can3,15,0.049292,160,1.494,5.669
8,can3,16,0.030976,160,1.494,5.669
9,can2,3,0.000000,180,1.600,5.835
9,can2,4,0.000000,180,1.600,5.835
9,can2,5,0.000000,180,1.600,5.835
9,can2,6,0.000000,180,1.600,5.835
9,can3,13,0.015335,180,1.600,5.835
9,can3,14,-0.021875,180,1.600,5.835
9,can3,15,0.055454,180,1.600,5.835
9,can3,16,0.034848,180,1.600,5.835
10,can2,3,0.000000,200,1.600,3.167
10,can2,4,0.000000,200,1.600,3.167
10,can2,5,0.000000,200,1.600,3.167
10,can2,6,0.000000,200,1.600,3.167
10,can3,13,0.017039,200,1.600,3.167
10,can3,14,-0.024305,200,1.600,3.167
10,can3,15,0.061616,200,1.600,3.167
10,can3,16,0.038720,200,1.600,3.167
11,can2,3,0.000000,220,1.600,1.834
11,can2,4,0.000000,220,1.600,1.834
11,can2,5,0.000000,220,1.600,1.834
11,can2,6,0.000000,220,1.600,1.834
11,can3,13,0.018743,220,1.600,1.834
11,can3,14,-0.026736,220,1.600,1.834
11,can3,15,0.067777,220,1.600,1.834
11,can3,16,0.042592,220,1.600,1.834
12,can2,3,0.000000,239,1.600,1.167
12,can2,4,0.000000,239,1.600,1.167
12,can2,5,0.000000,239,1.600,1.167
12,can2,6,0.000000,239,1.600,1.167
12,can3,13,0.020447,239,1.600,1.167
12,can3,14,-0.029167,239,1.600,1.167
12,can3,15,0.073939,239,1.600,1.167
12,can3,16,0.046463,239,1.600,1.167
13,can2,3,0.000000,259,1.600,0.833
13,can2,4,0.000000,259,1.600,0.833
13,can2,5,0.000000,259,1.600,0.833
13,can2,6,0.000000,259,1.600,0.833
13,can3,13,0.022151,259,1.600,0.833
13,can3,14,-0.031597,259,1.600,0.833
13,can3,15,0.080100,259,1.600,0.833
13,can3,16,0.050335,259,1.600,0.833
14,can2,3,0.000000,279,1.600,0.667
14,can2,4,0.000000,279,1.600,0.667
14,can2,5,0.000000,279,1.600,0.667
14,can2,6,0.000000,279,1.600,0.667
14,can3,13,0.023855,279,1.600,0.667
14,can3,14,-0.034028,279,1.600,0.667
14,can3,15,0.086262,279,1.600,0.667
14,can3,16,0.054207,279,1.600,0.667
15,can2,3,0.000000,299,1.600,0.583
15,can2,4,0.000000,299,1.600,0.583
15,can2,5,0.000000,299,1.600,0.583
15,can2,6,0.000000,299,1.600,0.583
15,can3,13,0.025559,299,1.600,0.583
15,can3,14,-0.036458,299,1.600,0.583
15,can3,15,0.092423,299,1.600,0.583
15,can3,16,0.058079,299,1.600,0.583
16,can2,3,0.000000,319,1.600,0.542
16,can2,4,0.000000,319,1.600,0.542
16,can2,5,0.000000,319,1.600,0.542
16,can2,6,0.000000,319,1.600,0.542
16,can3,13,0.027263,319,1.600,0.542
16,can3,14,-0.038889,319,1.600,0.542
16,can3,15,0.098585,319,1.600,0.542
16,can3,16,0.061951,319,1.600,0.542
17,can2,3,0.000000,339,1.600,0.521
17,can2,4,0.000000,339,1.600,0.521
17,can2,5,0.000000,339,1.600,0.521
17,can2,6,0.000000,339,1.600,0.521
17,can3,13,0.028967,339,1.600,0.521
17,can3,14,-0.041319,339,1.600,0.521
17,can3,15,0.104746,339,1.600,0.521
17,can3,16,0.065823,339,1.600,0.521
18,can2,3,0.000000,359,1.600,0.510
18,can2,4,0.000000,359,1.600,0.510
18,can2,5,0.000000,359,1.600,0.510
18,can2,6,0.000000,359,1.600,0.510
18,can3,13,0.030671,359,1.600,0.510
18,can3,14,-0.043750,359,1.600,0.510
18,can3,15,0.110908,359,1.600,0.510
18,can3,16,0.069695,359,1.600,0.510
19,can2,3,0.000000,379,1.600,0.505
19,can2,4,0.000000,379,1.600,0.505
19,can2,5,0.000000,379,1.600,0.505
19,can2,6,0.000000,379,1.600,0.505
19,can3,13,0.032375,379,1.600,0.505
19,can3,14,-0.046180,379,1.600,0.505
19,can3,15,0.117070,379,1.600,0.505
19,can3,16,0.073567,379,1.600,0.505
20,can2,3,0.000000,399,1.600,0.503
20,can2,4,0.000000,399,1.600,0.503
20,can2,5,0.000000,399,1.600,0.503
20,can2,6,0.000000,399,1.600,0.503
20,can3,13,0.034079,399,1.600,0.503
20,can3,14,-0.048611,399,1.600,0.503
20,can3,15,0.123231,399,1.600,0.503
20,can3,16,0.077439,399,1.600,0.503
21,can2,3,0.000000,419,1.600,0.501
21,can2,4,0.000000,419,1.600,0.501
21,can2,5,0.000000,419,1.600,0.501
21,can2,6,0.000000,419,1.600,0.501
21,can3,13,0.035783,419,1.600,0.501
21,can3,14,-0.051042,419,1.600,0.501
21,can3,15,0.129393,419,1.600,0.501
21,can3,16,0.081311,419,1.600,0.501
